Sample ID,Pingo Site,Pingo Location,d13C-CH4 (? vpdb),d13C-DIC (? vpdb),CH4 (mg/L),CO2 (mg/L),pH,ORP (mV),O2 (mg/L),dO-H2O,dD-H2O,Cl (mg/L),NO3-N (mg/L),SO4 (mg/L),HCO3 (mg/L),NH4 (mg/L),Na (mg/L),K (mg/L),Mg (mg/L),Ca (mg/L),Fe (mg/L),Mn (mg/L),Sr (mg/L),Si (mg/L),
 21/04/2017,River Bed Pingo,78.19491 N; 16.44747 E,-54.4,12.55,4.78,126.08,7.18,133.8,1.11,-15.4,-110.8,1563,b.d,2878.1,228.8,1.61,1016.9,7.89,517.7,459.3,0.88,5.16,5.96,3.08,
 15/04/2017,River Bed Pingo,78.19491 N; 16.44747 E,-55.0,12.53,6.12,119.93,7.32,-64.1,0.00,-14.9,-108.6,1524,b.d,1947.1,280.6,1.87,916.2,6.89,352.8,380.7,0.79,3.84,5.45,3.03,
17/03/2017,River Bed Pingo,78.19491 N; 16.44747 E,b.d.,10.07,0.61,97.17,8.15,-25.1,0.00,-15.1,-109.2,775,b.d,3665.8,305.4,0.82,562.5,6.30,537.4,533.9,0.45,6.23,6.43,2.91,
19/03/2017,River Bed Pingo,78.19491 N; 16.44747 E,b.d.,10.09,0.97,98.88,7.22,113.1,2.18,-15.3,-108.5,780,b.d,3509.2,235.7,0.65,538.8,5.96,494.6,480.2,0.58,6.54,6.39,2.85,
16/04/2016,River Bed Pingo,78.19491 N; 16.44747 E,-55.6,n.d.,32.36,313.87,7.21,-191.8,0.31,-14.3,-101.8,1543,0.04,40.1,2699.1,2.76,1910.8,4.99,13.8,31.6,0.91,0.08,2.75,2.75,
12/04/2016,River Bed Pingo,78.19491 N; 16.44747 E,-51.5,n.d.,24.86,420.20,7.06,-12.1,0.17,-14.0,-100.8,1509,0.08,43.2,2766.1,2.07,1976.9,4.95,13.0,30.7,0.72,0.07,1.84,2.74,
12/04/2015,River Bed Pingo,78.19491 N; 16.44747 E,-55.9,n.d.,20.15,161.97,7.61,-74.9,0.68,-13.9,-99.8,1449,0.00,24.30,3711.1,1.86,2268.5,6.92,20.1,32.6,0.73,0.58,1.18,2.02,
,,,,,,,,,,,,,,,,,,,,,,,,,
 23/09/2017,Innerhytte Pingo,78.18980 N; 16.34815 E,-53.8,27.05,16.91,797.56,7.385,2.8,0.22,-13.47,-97.5,1549,b.d,4.7,3416.8,n.d.,2233.7,10.2,15.4,26.0,0.54,0.0,3.01,n.d.,
 19/04/2017,Innerhytte Pingo,78.18980 N; 16.34815 E,-55.9,26.74,25.02,352.18,7.16,-35.4,0.77,-13.7,-99.2,1529,b.d,b.d,1996.7,2.37,1693.1,4.14,12.72,19.27,0.48,0.01,3.01,2.86,
 15/04/2017,Innerhytte Pingo,78.18980 N; 16.34815 E,-56.1,12.55,27.60,420.00,7.11,-118.5,0.00,-13.6,-98.9,1494,b.d,b.d,2022.6,2.47,1682.5,4.13,11.73,18.41,0.49,0.01,3.19,2.84,
 17/03/2017,Innerhytte Pingo,78.18980 N; 16.34815 E,-55.7,26.28,27.64,309.46,6.81,-67.4,0.30,-13.6,-99.4,1516,b.d,1.4,2042.9,2.47,1703.0,4.48,12.32,18.92,0.50,0.01,2.98,2.88,
21/04/2016,Innerhytte Pingo,78.18980 N; 16.34815 E,-57.8,n.d.,29.85,799.09,6.89,-189,0.43,-14.5,-103.4,1383,0.03,38.6,3930.7,2.22,2307.4,3.70,20.63,39.99,0.44,0.01,3.28,2.85,
12/04/2016,Innerhytte Pingo,78.18980 N; 16.34815 E,-51.8,n.d.,41.26,560.96,7.07,-20.7,0.23,-13.5,-97.6,1407,0.02,14.5,3989.2,2.51,2334.6,3.54,20.19,39.61,0.41,0.01,3.05,2.80,
